date,title,words,author
1912,Aunt Jane’s Nieces on Vacation,48726,Lyman Frank Baum
1912,Corporal Cameron of the North West Mounted Police,124859,Ralph Connor
1912,Sky Island,54728,Lyman Frank Baum
1912,The Lost World,75895,Arthur Conan Doyle
1912,The Reef,96913,Edith Wharton
1913,Roden’s Corner,84209,Henry Seton Merriman
1913,T. Tembarom,181625,Frances Burnett
1913,The Coryston Family,86478,Humphrey Ward [Mary Augusta Ward]
1913,The Custom of the Country,140208,Edith Wharton
1913,The Judgment House,149003,Gilbert Parker
1913,The Mating of Lydia,132682,Humphrey Ward [Mary Augusta Ward]
1913,The Patrol of the Sundance Trail,94139,Ralph Connor
1913,The Poison Belt,29309,Arthur Conan Doyle
1913,The Woman thou gavest me,240447,Hall Caine
1914,A Summer in a Canyon,54177,Kate Douglas Wiggin
1914,Delia Blanchflower,109089,Humphrey Ward [Mary Augusta Ward]
1914,Innocent,127162,Marie Corelli
1914,The Lost Prince,99915,Frances Burnett
1915,A Great Success,32605,Humphrey Ward [Mary Augusta Ward]
1915,Penelope’s Postscripts,30283,Kate Douglas Wiggin
1915,The Scarecrow of Oz,46035,Lyman Frank Baum
1916,Lady Connie,115572,Humphrey Ward [Mary Augusta Ward]
1916,Mary Louise,46302,Lyman Frank Baum
1917,Summer,57421,Edith Wharton
1917,The Light in the Clearing,91703,Irving Bacheller
1917,The Major,118678,Ralph Connor
1918,The Passing of the Frontier,35781,Emerson Hough
1918,The White Morning,32855,Gertrude Atherton
1918,The World for Sale,103899,Gilbert Parker
1918,Wild Youth,46642,Gilbert Parker
1919,All Roads Lead to Calvary,92235,Jerome Kapla Jerome
1919,The Avalanche,41524,Gertrude Atherton
1920,The Age of Innocence,102424,Edith Wharton
1920,The White People,21477,Frances Burnett
1921,No Defence,84081,Gilbert Parker
1921,The Secret Power,93982,Marie Corelli
1921,The Sisters-in-Law,112786,Gertrude Atherton
1921,To Him that Hath,80056,Ralph Connor
1922,In the Days of Poor Richard,101025,Irving Bacheller
1922,Sleeping Fires,53262,Gertrude Atherton
1922,The Covered Wagon,87144,Emerson Hough
1922,The Glimpses of the Moon,83127,Edith Wharton
1922,The Head of the House of Coombe,111880,Frances Burnett 
